what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232938724765
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232938725718
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232938729255
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232938740655
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232938885917
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232938887232
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232938906209
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232938942921
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232938946167
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232939058520
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232939078875
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232939080792
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232939088087
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232939090901
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232939093536
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232939129309
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232939199534
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232939245148
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232939247732
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232939258265
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232939282626
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232939311567
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232939313005
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232939352815
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232939396057
