what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232863756998
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232863760130
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.findReplace,1232863760192
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232863822269
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232863823587
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232863957972
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232864047441
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232864066639
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232864069881
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232864078671
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232864104728
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232864107517
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232864140316
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232864175416
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232864207169
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1232864210079
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1232864213059
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232864213508
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232864215510
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232864228497
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232864498984
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232864501533
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232864525617
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232864544292
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232864547367
