what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232946060498
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232946104248
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1232946295974
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232946298670
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232946298693
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1232946303308
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232946303538
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232946303566
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1232946306026
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232946329338
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1232946330301
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232946330958
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1232946333333
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232946354702
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232946435402
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232946435893
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232946435936
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1232946440972
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232946441175
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232946441342
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232946443150
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232946453340
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232946453422
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232946454944
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232946465306
