what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232944454616
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232944470601
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232944491026
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232944508505
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232944531825
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232944536660
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232944538292
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232944555606
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232944575821
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232944601146
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232944609969
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232944611788
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1232944611928
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232944620147
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232944639614
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232944644851
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232944654085
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232944656439
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232944835727
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232944939384
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232944959413
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232944973689
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232944978482
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232945024290
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232945069294
